,primaryTitle,isAdult,startYear,runtimeMinutes,genres,PolloRating
93665,Stray Dog: Kerberos Panzer Cops,0,1991,99,"Comedy,Drama,Sci-Fi",0.25523324967714733
176545,I'm Totally Fine,0,2022,83,"Comedy,Drama,Sci-Fi",0.2551777164909866
276646,Abduction,0,2019,98,"Action,Horror,Sci-Fi",0.2551371991397505
228676,Confinement,0,2016,94,Sci-Fi,0.2549783356664436
24434,From the Earth to the Moon,0,1958,101,"Adventure,Fantasy,Sci-Fi",0.25492413012878856
57692,The Lost World,0,1992,99,"Adventure,Fantasy,Sci-Fi",0.2549178776702625
240768,2047: Virtual Revolution,0,2016,92,"Action,Crime,Sci-Fi",0.25484568894662313
39978,Embryo,0,1976,104,"Horror,Sci-Fi",0.2544390937567796
43674,The Chain Reaction,0,1980,92,"Action,Drama,Sci-Fi",0.2543327550119442
13394,Captive Wild Woman,0,1943,61,"Horror,Sci-Fi",0.25424304210090143
135329,Heaven's Soldiers,0,2005,106,"Action,Comedy,Sci-Fi",0.2542339976306626
69303,A Bomb Was Stolen,0,1962,74,"Comedy,Fantasy,Sci-Fi",0.25402931005618523
220418,Tiger & Bunny the Movie: The Beginning,0,2012,88,"Action,Animation,Sci-Fi",0.2539655956406439
155009,The Horn,0,2020,\N,"Horror,Sci-Fi",0.25394972037274405
203989,Run Away with Me,0,2015,80,"Sci-Fi,Thriller",0.25389294732165574
19337,The Beautiful Dreamer,0,1952,75,"Comedy,Fantasy,Sci-Fi",0.25388221326530686
212520,Voltes V,0,1977,\N,Sci-Fi,0.25387582799741876
133394,The Noah,0,1975,107,"Drama,Fantasy,Sci-Fi",0.2538301176548296
47116,Atlantis Interceptors,0,1983,92,"Action,Sci-Fi",0.25378729427101127
68189,The Sticky Fingers of Time,0,1997,81,Sci-Fi,0.2536985345237685
124604,Dragon Head,0,2003,122,"Drama,Mystery,Sci-Fi",0.2536685953130364
11815,The Body Disappears,0,1941,72,"Comedy,Romance,Sci-Fi",0.25358512394985455
34227,Crimes of the Future,0,1970,63,"Comedy,Sci-Fi",0.25353581650051754
276521,First Signal,0,2021,102,"Drama,History,Sci-Fi",0.25353156626317336
50103,Kamikaze,0,1986,90,"Crime,Sci-Fi,Thriller",0.2535240064663838
196311,Target,0,2011,158,"Drama,Sci-Fi",0.25346363379404685
230212,Star Blazers 2199: Odyssey of the Celestial Ark,0,2014,115,"Action,Animation,Sci-Fi",0.253456690555446
258829,The Laplace's Demon,0,2017,105,"Horror,Mystery,Sci-Fi",0.253369258066446
